input,output
no kidding hes a criminal i heard he lit a state trooper on fire he just got out of alcatraz,they always let felons sit in on honors biology
they always let felons sit in on honors biology,im serious man hes whacked he sold his own liver on the black market so he could buy new speakers
im serious man hes whacked he sold his own liver on the black market so he could buy new speakers,forget his reputation do you think weve got a plan or not
forget his reputation do you think weve got a plan or not,did she actually say shed go out with you
did she actually say shed go out with you,thats what i just said
you know if you do go out with bianca youd be set youd outrank everyone strictly alist with me by your side,i thought you hated those people
i thought you hated those people,hey ive gotta have a few clients when i get to wall street
you got him involved,like we had a choice besides when you let the enemy think hes orchestrating the battle youre in a position of power we let him pretend hes calling the shots and while hes busy setting up the plan you have time to woo bianca
this is it a golden opportunity patrick can ask katarina to the party,in that case well need to make it a schoolwide blow out
in that case well need to make it a schoolwide blow out,will bogey get bent
will bogey get bent,are you kidding hell piss himself with joy hes the ultimate kiss ass
number one she hates smokers,its a lung cancer issue
its a lung cancer issue,her favorite uncle
her favorite uncle,dead at fortyone
hes pretty,okay i wasnt sure
assail your ears for one night,its her favorite band
you told me that part already,hell ive just been going over the whole thing in my head and
extremely unfortunate maneuver,the hell is that what kind of guy just picks up a girl and carries her away while youre talking to her
the hell is that what kind of guy just picks up a girl and carries her away while youre talking to her,buttholus extremus but hey youre making progress
buttholus extremus but hey youre making progress,no i m not
you humiliated the woman sacrifice yourself on the altar of dignity and even the score,best case scenario youre back on the payroll for awhile
and he means that strictly in a non prisonmovie type of way,yeah well see
whatve you got for me,ive retrieved certain pieces of information on miss katarina stratford i think youll find helpful
gigglepuss is playing there tomorrow night,dont make me do it man
cameron im a little busy,its off the whole thing
what re you talking about,shes partial to joey not me
cameron do you like the girl,sure
sure,then go get her
whatd you do to her,i don t know i decided not to nail her when she was too drunk to remember it
she hates you with the fire of a thousand suns thats a direct quote,she just needs time to cool off ill give it a day
you makin any headway,she kissed me
she kissed me,where
whats the worst,you get the girl
the vintage look is over kat havent you been reading your sassy,yeah and i noticed the only part of you featured in your big kmart spread was your elbow tough break
yeah and i noticed the only part of you featured in your big kmart spread was your elbow tough break,theyre running the rest of me next month
hey do you mind,not at all
where ya goin,away
away,your sister here
leave my sister alone,and why would i do that
yeah,what do you think
two legs nice rack,yeah whatever i want you to go out with her
yeah whatever i want you to go out with her,sure sparky ill get right on it
sure sparky ill get right on it,you just said
you just said,you need money to take a girl out
you need money to take a girl out,but youd go out with her if you had the cake
you got it verona i pick up the tab you do the honors,youre gonna pay me to take out some girl
youre gonna pay me to take out some girl,i cant date her sister until that one gets a boyfriend and thats the catch she doesnt want a boyfriend
i cant date her sister until that one gets a boyfriend and thats the catch she doesnt want a boyfriend,how much
i cant take a girl like that out on twenty bucks,fine thirty
take it or leave it this isnt a negotiation,fifty and youve got your man
when i shell out fifty i expect results,im on it
im on it,watching the bitch trash my car doesnt count as a date
watching the bitch trash my car doesnt count as a date,i got her under control she just acts crazed in public to keep up the image
i just upped my price,what
what,a hundred bucks a date
a hundred bucks a date,forget it
forget it,forget her sister then
its about time,a deals a deal
howd you do it,do what
do what,get her to act like a human
i dont know dorsey the limothe flowers another hundred for the tux,enough with the barbie n ken shit i know
hey,are you lost
are you lost,nope just came by to chat
nope just came by to chat,we dont chat
we dont chat,well actually i thought id run an idea by you you know just to see if youre interested
well actually i thought id run an idea by you you know just to see if youre interested,were not
but she cant go out with you because her sister is this insane head case and no one will go out with her right,does this conversation have a purpose
does this conversation have a purpose,so what you need to do is recruit a guy wholl go out with her someone whos up for the job
i hear youre helpin verona,uh yeah were old friend
uh yeah were old friend,you and verona
you and verona,what we took bathes together when we were kids
you better not fuck this up im heavily invested,hey its all for the higher good right
whos that,patrick verona random skid
patrick verona random skid,thats pat verona the one who was gone for a year i heard he was doing porn movies
thats pat verona the one who was gone for a year i heard he was doing porn movies,im sure hes completely incapable of doing anything that interesting
im sure hes completely incapable of doing anything that interesting,he always look so
he always look so,block e
mandella eat starving yourself is a very slow way to die,just a little
whats this,an attempted slit
i realize that the men of this fine institution are severely lacking but killing yourself so you can be with william shakespeare is beyond the scope of normal teenage obsessions youre venturing far past daytime talk show fodder and entering the world of those who need very expensive therapy,but imagine the things hed say during sex
the people at this school are so incredibly foul,you could always go with me im sure william has some friends
so he has this huge raging fit about sarah lawrence and insists that i go to his maledominated puking frat boy number one golf team school i have no say at all,william would never have gone to a state school
william would never have gone to a state school,william didnt even go to high school
william didnt even go to high school,thats never been proven
thats never been proven,neither has his heterosexuality
i appreciate your efforts toward a speedy death but im consuming do you mind,does it matter
you think thisll work,no fear
whatd he say,who cares
you went to the party i thought we were officially opposed to suburban social activity,i didnt have a choice
i didnt have a choice,you didnt have a choice wheres kat and what have you done with her
you didnt have a choice wheres kat and what have you done with her,i did bianca a favor and it backfired
i did bianca a favor and it backfired,you didnt
you didnt,i got drunk i puked i got rejected it was big fun
can you even imagine who the hell would go to this a bastion of commercial excess,well i guess were not since we dont have dates
well i guess were not since we dont have dates,listen to you you sound like betty all pissed off because archie is taking veronica
listen to you you sound like betty all pissed off because archie is taking veronica,okay okay we wont go its not like i have a dress anyway
okay okay we wont go its not like i have a dress anyway,you re looking at this from the wrong perspective were making a statement
you re looking at this from the wrong perspective were making a statement,oh good something new and different for us
have you seen him,who
who,william he asked me to meet him here
william he asked me to meet him here,oh honey tell me we havent progressed to fullon hallucinations
i mean woman how ya doin,sweating like a pig actually and yourself
sweating like a pig actually and yourself,theres a way to get a guys attention
theres a way to get a guys attention,my mission in life
pick you up friday then,oh right friday
the night i take you to places youve never been before and back,like where the eleven on burnside do you even know my name screwboy
like where the eleven on burnside do you even know my name screwboy,i know a lot more than that
you hate me dont you,i dont really think you warrant that strong an emotion
i dont really think you warrant that strong an emotion,then say youll spend dollar night at the track with me
then say youll spend dollar night at the track with me,and why would i do that
and why would i do that,come on the ponies the flat beer you with money in your eyes me with my hand on your ass
come on the ponies the flat beer you with money in your eyes me with my hand on your ass,you covered in my vomit
you covered in my vomit,seventhirty
are you following me,i was in the laundromat i saw your car thought id say hi
i was in the laundromat i saw your car thought id say hi,hi
youre not a big talker are you,depends on the topic my fenders dont really whip me into a verbal frenzy
excuse me,thats what you want isnt it
thats what you want isnt it,do you mind youre sort of ruining it for me
you know these guys are no bikini kill or the raincoats but theyre right up there,you know who the raincoats are
you know who the raincoats are,why dont you
i say do what you wanna do,funny youre the only one
okay,im fine im
youre not okay,i just need to lie down for awhile
i just need to lie down for awhile,uh uh you lie down and youll go to sleep
uh uh you lie down and youll go to sleep,i know just let me sleep
i know just let me sleep,what if you have a concussion my dog went to sleep with a concussion and woke up a vegetable not that i could tell the difference
this is so patronizing,leave it to you to use big words when youre shitfaced
leave it to you to use big words when youre shitfaced,why re you doing this
why re you doing this,i told you
i told you,you dont care if i die
you dont care if i die,sure i do
sure i do,why
why,because then id have to start taking out girls who like me
because then id have to start taking out girls who like me,like you could find one
like you could find one,see that who needs affection when ive got blind hatred
see that who needs affection when ive got blind hatred,just let me sit down
whyd you let him get to you,who
who,dorsey
dorsey,i hate him
i hate him,i know itd have to be a pretty big deal to get you to mainline tequila you dont seem like the type
i thought you were above all that,you know what they say
kat wake up,what
and im in control of it,but its gigglepuss i know you like them i saw you there
when you were gone last year where were you,busy
busy,were you in jail
were you in jail,maybe
maybe,no you werent
no you werent,then whyd you ask
then whyd you ask,whyd you lie
i should do this,do what
do what,this
start a band,my father wouldnt approve of that that
my father wouldnt approve of that that,you dont strike me as the type that would ask permission
oh so now you think you know me,im gettin there
so what s up with your dad he a pain in the ass,he just wants me to be someone im not
he just wants me to be someone im not,who
who,bianca
bianca,no offense but youre sister is without i know everyone likes her and all but
excuse me have you seen the feminine mystique i lost my copy,what are you doing here
what are you doing here,i heard there was a poetry reading
i heard there was a poetry reading,you re so
you re so,pleasant
wholesome,unwelcome
unwelcome,unwelcome i guess someone still has her panties in a twist
unwelcome i guess someone still has her panties in a twist,dont for one minute think that you had any effect whatsoever on my panties
dont for one minute think that you had any effect whatsoever on my panties,so what did i have an effect on
so what did i have an effect on,other than my upchuck reflex nothing
he left i sprung the dickhead and he cruised on me,look up sunshine
i guess i never told you im afraid of heights,cmon its not that bad
cmon its not that bad,try lookin at it from this angle
put your right foot there,forget it im stayin
forget it im stayin,you want me to climb up and show you how to get down
you want me to climb up and show you how to get down,maybe
the partridge family,i figured it had to be something ridiculous to win your respect and piss you off
i figured it had to be something ridiculous to win your respect and piss you off,good call
good call,so howd you get chapin to look the other way
so howd you get chapin to look the other way,i dazzled him with my wit
a soft side who knew,yeah well dont let it get out
yeah well dont let it get out,so whats your excuse
so whats your excuse,acting the way we do
acting the way we do,yes
yes,i dont like to do what people expect then they expect it all the time and they get disappointed when you change
i dont like to do what people expect then they expect it all the time and they get disappointed when you change,so if you disappoint them from the start youre covered
so if you disappoint them from the start youre covered,something like that
something like that,then you screwed up
then you screwed up,how
how,you never disappointed me
you up for it,for
state trooper,fallacy
fallacy,the duck
the duck,hearsay
hearsay,i know the porn careers a lie
tell me something true,i hate peas
i hate peas,no something real something no one else knows
no something real something no one else knows,youre sweet and sexy and completely hot for me
youre sweet and sexy and completely hot for me,what
what,no one else knows
no one else knows,youre amazingly selfassured has anyone ever told you that
youre amazingly selfassured has anyone ever told you that,go to the prom with me
is that a request or a command,you know what i mean
you know what i mean,no
no,no what
no what,no i wont go with you
no i wont go with you,why not
why not,because i dont want to its a stupid tradition
create a little drama start a new rumor what,so i have to have a motive to be with you
so i have to have a motive to be with you,you tell me
you tell me,you need therapy has anyone ever told you that
you need therapy has anyone ever told you that,answer the question patrick
answer the question patrick,nothing theres nothing in it for me just the pleasure of your company
howd you get a tux at the last minute,its scurvys his date got convicted whered you get the dress
its scurvys his date got convicted whered you get the dress,its just something i had you know
its just something i had you know,oh huh
oh huh,look im sorry that i questioned your motives i was wrong
my grandmothers,what
what,thats where i was last year shed never lived alone my grandfather died i stayed with her i wasnt in jail i dont know marilyn manson and ive never slept with a spice girl i spent a year sitting next to my grandma on the couch watching wheel of fortune end of story
that s completely adorable,it gets worse you still have your freshman yearbook
wait i,you were paid to take me out by the one person i truly hate i knew it was a setup
you were paid to take me out by the one person i truly hate i knew it was a setup,it wasnt like that
it wasnt like that,really what was it like a down payment now then a bonus for sleeping with me
really what was it like a down payment now then a bonus for sleeping with me,i didnt care about the money
a fender strat you bought this,i thought you could use it when you start your band
besides i had some extra cash some asshole paid me to take out a really great girl,is that right
is that right,yeah but then i fucked up i fell for her
why is my veggie burger the only burnt object on this grill,because i like to torture you
because i like to torture you,oh bianca can you get me my freshman yearbook
oh bianca can you get me my freshman yearbook,don t you even dare
i know,i thought we decided you were going to school here at u of
i thought we decided you were going to school here at u of,you decided
this from someone whose diary is devoted to favorite grooming tips,enough
my insurance does not cover pms,then tell them i had a seizure
then tell them i had a seizure,is this about sarah lawrence you punishing me
is this about sarah lawrence you punishing me,i thought you were punishing me
i thought you were punishing me,why cant we agree on this
why cant we agree on this,because youre making decisions for me
because youre making decisions for me,as a parent thats my right
as a parent thats my right,so what i want doesnt matter
so what i want doesnt matter,youre eighteen you dont know what you want you wont know until youre fortyfive and you dont have it
youre eighteen you dont know what you want you wont know until youre fortyfive and you dont have it,i want to go to an east coast school i want you to trust me to make my own choices i want
was that your sister,yeah she left with some bikers big ones full of sperm
yeah she left with some bikers big ones full of sperm,funny
i dont understand the allure of dehydrated food is this something i should be hip to,no daddy
no daddy,so tell me about this dance was it fun
so tell me about this dance was it fun,parts of it
parts of it,which parts
which parts,the part where bianca beat the hell out of some guy
the part where bianca beat the hell out of some guy,bianca did what
bianca did what,whats the matter upset that i rubbed off on her
whats the matter upset that i rubbed off on her,no impressed
you know fathers dont like to admit that their daughters are capable of running their own lives it means weve become spectators bianca still lets me play a few innings youve had me on the bleachers for years when you go to sarah lawrence i wont even be able to watch the game,when i go
when i go,oh christ dont tell me youve changed your mind i already sent em a check
katarina stratford my my youve been terrorizing ms blaise again,expressing my opinion is not a terrorist action
expressing my opinion is not a terrorist action,well yes compared to your other choices of expression this year todays events are quite mild by the way bobby rictors gonad retrieval operation went quite well in case youre interested
well yes compared to your other choices of expression this year todays events are quite mild by the way bobby rictors gonad retrieval operation went quite well in case youre interested,i still maintain that he kicked himself in the balls i was merely a spectator
i still maintain that he kicked himself in the balls i was merely a spectator,the point is kat people perceive you as somewhat
am i supposed to feel better like right now or do i have some time to think about it,just smack her now
hey there tired of breathing,hi
hi,cool pictures you a fan
cool pictures you a fan,yeah i guess
you think,oh yeah
macbeth right,right
right,kat a fan too
kat a fan too,yeah
say it,what
what,whatever the hell it is youre standin there waitin to say
what plan,the situation is my man cameron here has a major jones for bianca stratford
the situation is my man cameron here has a major jones for bianca stratford,what is it with this chick she have three tits
i think i speak correctly when i say that camerons love is pure purer than say joey dorseys,dorsey can plow whoever he wants im just in this for the cash
thats where we can help you with kat,so dorsey can get the girl
so dorsey can get the girl,patrick pat youre not looking at the big picture joeys just a pawn we set this whole thing up so cameron can get the girl
you two are gonna help me tame the wild beast,were your guys
what,good enough
ever been to club skunk,yeah
i prefer to think of it simply as an alternative to what the law allows,im likin you guys better
so you got cozy with she who stings,no ive got a sweetpayin job that im about to lose
you were right shes still pissed,sweet love renew thy force
sweet love renew thy force,man dont say shit like that to me people can hear you
i missed you,it says here you exposed yourself to a group of freshmen girls
it says here you exposed yourself to a group of freshmen girls,it was a bratwurst i was eating lunch
it was a bratwurst i was eating lunch,with the teeth of your zipper
i dont understand patrick you havent done anything asinine this week are you not feeling well,touch of the flu
touch of the flu,im at a loss then what should we talk about your year of absence
why dont we discuss your driving need to be a hemorrhoid,whats to discuss
whats to discuss,you werent abused you arent stupid and as far as i can tell youre only slightly psychotic so why is it that youre such a fuckup
you werent abused you arent stupid and as far as i can tell youre only slightly psychotic so why is it that youre such a fuckup,well you know theres the prestige of the job title and the benefits package is pretty good
youre completely demented,see you next week
in the microwave,make anyone cry today
whats a synonym for throbbing,sarah lawrence is on the other side of the country
jesus can a man even grab a sandwich before you women start dilating,tumescent
tumescent,youre not helping
would you rather be ravished by a pirate or a british rear admiral,pirate no question
theyll dance theyll kiss theyll come home let her go,kissing is that what you think happens kissing isnt what keeps me up to my elbows in placenta all day
what do you wanna watch weve got crap crap crap or crap,dr ruth
have a great time honey,but who what
what just happened,your daughters went to the prom
your daughters went to the prom,did i have anything to say about it
did i have anything to say about it,absolutely not
absolutely not,that s what i thought
i never seen heat like this not even in las minas,the waters going putrid in the barrels
the waters going putrid in the barrels,youll be drinking your own piss for the glory of spain and admiral colon bastard
what are you listening to chicken ass,ah leave him alone hes doing no harm
ah leave him alone hes doing no harm,with a face like that i dont want you looking at me you hear
hes the devils child,well all go crazy
we should have seen land,we left three weeks ago alonso cant be that near
we left three weeks ago alonso cant be that near,cant be that far i say also i dont like the smell of the sea around here smells like a cunt bad sign
you say asia can be found by sailing west,yes your eminence the voyage should not take more than six or seven weeks
yes your eminence the voyage should not take more than six or seven weeks,unfortunately don colon that is precisely where our opinions differ are you familiar with the work of aristotle erathostene ptolemeus
unfortunately don colon that is precisely where our opinions differ are you familiar with the work of aristotle erathostene ptolemeus,i am your eminence
i am your eminence,then you cannot ignore that according to their calculations the circumference of the earth is approximately leagues or more which makes the ocean uncrossable
senor colon an experienced captain such as yourself will understand our concern with the crew i am not willing to have on my conscience the loss of men who would have relied upon our judgment,excellency you are right
your eminence there is only one way to settle the matter and that is to make the journey i am ready to risk my life to prove it possible,your life and that of others
your life and that of others,if they agree to follow me yes
trade your excellency according to marco polo the kingdom of china is one of the richest of the world even the meanest buildings are roofed with gold,is that all that interests you gold
is that all that interests you gold,no the portuguese have already discovered blackskinned people i too will find other populations and bring them to the word of god
if god intended our proximity to asia do you believe he would have waited for you to show it to the world,did he not choose a carpenters son to reveal himself to the world
dont you realize your words could be considered heretical,blind faith is what i consider heresy
asia can be found to the west and i will prove it,ifgodwillsit
the state has some reason to be interested in this mans proposition your eminence,the judgment is ours
the judgment is ours,naturally but i would really deplore the loss of such a potential opportunity for spain for a dispute over a point of geography
he is a mercenary did he not already try to convince the king of portugal of his absurd notions,indeed the world is full of mercenaries and states often make use of them when it benefits them my only concern is the welfare and prosperity of spain
it wont be easy to get rid of your prophet now don sanchez,on the contrary your eminence it seems to me the man is preparing his own cross
you can see for yourself,what a tragedy what a waste of a life
what a tragedy what a waste of a life,a waste let me tell you something arojaz if your name or mine is ever remembered it will only be because of his
i could be gone for years,i know
i know,i havent given you much of a life
i havent given you much of a life,well thats true i have a child by a man who wont marry me whos always leaving
well thats true i have a child by a man who wont marry me whos always leaving,are we going to argue
are we going to argue,id love to argue with you sometimes but youre never here
perhaps i was never meant to live with a woman,i find that hard to believe
she said yes,thank god
im not asking you to swear to anything,i dont want you to wait for me
i dont want you to wait for me,thats something you cant decide
beatrix i want to ask you something,you dont usually ask
you dont usually ask,i can arrange for the queen to take fernando and diego into her service
god youre so beautiful i cant believe no other man has ever taken you away from me,they tried but i didnt let them
they took everything,not everything do you think i care im a free man again riches dont make a man rich they only make him busier
cant you stay with us a little,i am busy inside
what is it now tell me,i cant keep my eyes off you i would like to catch up with all the moments i didnt spend with you
i understand that you will soon be appointing governors for the islands is it not so,forgive me don bobadilla those positions have already been taken
forgive me don bobadilla those positions have already been taken,may i ask by whom
may i ask by whom,bartolome and giacomo colon
don alonso de bobadilla,yes i remember
my letters of appointment,appointment to what
appointment to what,viceroy of the west indies
viceroy of the west indies,congratulations then i am free to search for the mainland
how far from here,i am not a seaman but i heard it is no more than a week at sea i hope you are not too disappointed
i am not a seaman but i heard it is no more than a week at sea i hope you are not too disappointed,how could i be the mainland has been found exactly as i said it would
how could i be the mainland has been found exactly as i said it would,i am afraid this is not the worst news
i want to go with you,therell be a time
therell be a time,you promise do you swear on st christopher
do you swear on all the holy saints in heaven,yes yes i do on all of them
i have to explore the mainland,this time with me
how are you feeling fernando,not bad
father,there must be a passage to that other ocean
what are you listening to,i am not listening father but i cant help hearing
what does he say,he asks when he can come to visit you he left his address
he asks when he can come to visit you he left his address,he never had one except aboard my ships
i want you to tell me everything you remember father from the beginning everything,really god i wouldnt know where to start and yet
really god i wouldnt know where to start and yet,tell me the first thing that comes to your mind
no,no
no,no i have waited too long fought too hard now you expect me to take all the risks while you take the profit no i will not be your servant
i remind you senor colon that you are in no position to bargain with me,im not bargaining
im not bargaining,then you are too ambitious
and were you never ambitious excellency or is ambition only a virtue among the nobles a fault for the rest of us,if you wont accept our proposal well simply find someone who will
they dont see sin in their nakedness they live according to nature in a never ending summer the islands are covered with trees filled with blossoms and fruits and,forgive me don colon but what about gold
you defend yourself admirably,for a commoner
but we do have a lack of notaries you should contact my administration,don bobadilla is already a judge my dear don cristobal
don bobadilla is already a judge my dear don cristobal,good we are also in need of judges except there are no thieves
you seem to have a special talent for making friends,what do i have so many already
what do i have so many already,to rise so high in so short a time is a dangerous occupation a little hypocrisy goes a long way
all i have to do is call the guards,call them
i am not afraid of you you are nothing but a dreamer,look out of that window
what do you see,roofs towers palaces spires
roofs towers palaces spires,all of them created by people like me
say not here cuba,what is it a tribe an island
what is it a tribe an island,island far
you come you speak first,tell the chief we thank him
tell the chief we thank him,chief knows
chief knows,tell him his country is very beautiful tell him we are leaving men here to build a fort
chief says how many,thousands
thousands,why
to bring the word of god,chief says he has a god
chief says he has a god,and also to bring medicine
and also to bring medicine,chief says
chief says,he has medicine tell him we admire his people
we will work with his people we want peace ask the chief if he understands,he understands
he understands,ask him if he will help
you have to find them utapan look what they did,you did the same to your god
utapan wont you speak to me you used to know how to speak to me,you never learned how to speak my language
